feature_set,model,scenario,repeat,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A1_S2_temporal,CatBoost,random_60,3,0.563502071698793,0.19632977529176734,0.2954747582541554,0.19632977529176734,0.19367718874086937,0.5648373672305127,0.4139415532529901,0.42143775759078617
A1_S2_temporal,CatBoost,random_60,4,0.5732300486398847,0.19774169043022352,0.28954839519079983,0.19774169043022352,0.19056829618593818,0.5712601061048441,0.4260685308177793,0.43299187960611585
A1_S2_temporal,CatBoost,random_60,5,0.5642226625833183,0.19039904267306257,0.231621756232035,0.19039904267306257,0.18589688025316822,0.5627055634890072,0.4140914305541472,0.4212471296381547
A1_S2_temporal,CatBoost,random_60,6,0.5737704918032787,0.1997664053061001,0.2925412462694124,0.1997664053061001,0.1917482164182465,0.5722079300607841,0.4276883936359458,0.43495032343021056
A1_S2_temporal,CatBoost,random_60,7,0.5784543325526932,0.20360556456649806,0.3736933305258047,0.20360556456649806,0.19723134770364473,0.5744826375160773,0.43199773137374975,0.4390435606335385
A1_S2_temporal,CatBoost,random_60,8,0.572869753197622,0.19950899728606378,0.2587606043234134,0.19950899728606378,0.19248212469026887,0.5713769058919139,0.4257833567925243,0.4332238143426061
A1_S2_temporal,CatBoost,random_60,9,0.5672851738425508,0.19701374640239938,0.27249933898686296,0.19701374640239938,0.1927087531377379,0.565786130013243,0.4178589419621148,0.4251930942667781
A1_S2_temporal,CatBoost,random_60,10,0.5687263556116016,0.1967072265965295,0.29100095922794256,0.1967072265965295,0.19084781914720697,0.5672515595072798,0.41950851690170965,0.4260921295006622
A1_S2_temporal,CatBoost,random_60,11,0.5707079805440461,0.2006761720831143,0.2798563320299059,0.2006761720831143,0.19497796143417173,0.5680403740223298,0.4225882578281044,0.4297056667834719
A1_S2_temporal,CatBoost,random_60,12,0.575031525851198,0.2048602323765728,0.22787922112485404,0.2048602323765728,0.19708032181105437,0.5732869229936377,0.4281250582746664,0.43554637297829735
A1_S2_temporal,CatBoost,random_60,13,0.5725094577553594,0.2025366738067178,0.35562043413403216,0.2025366738067178,0.2028529666610379,0.5733590637634969,0.4253999935353523,0.4329800810552656
A1_S2_temporal,CatBoost,random_60,14,0.5712484237074401,0.2006713888174011,0.3364231417356863,0.2006713888174011,0.1983605468113949,0.5712860443057999,0.42420357825543886,0.430965050176514
A1_S2_temporal,CatBoost,contiguous_20d,0,0.6971716807782381,0.39553826294256444,0.3835905440986557,0.39553826294256444,0.379685072299018,0.6964270665703074,0.5953070572347687,0.5963750493950548
A1_S2_temporal,CatBoost,contiguous_20d,1,0.6914069537020356,0.3805529198024464,0.3532030758825915,0.3805529198024464,0.35826493720328245,0.6906269256840649,0.5880284783912213,0.5892307079825583
A1_S2_temporal,CatBoost,contiguous_20d,2,0.6973518284993695,0.40352628376077093,0.39400652742931985,0.40352628376077093,0.38701877589253014,0.6973084070173979,0.5956961799218071,0.5967179319596629
A1_S2_temporal,CatBoost,contiguous_20d,3,0.692667987749955,0.3928078703750161,0.3735822794425445,0.3928078703750161,0.3707353240627461,0.692906332450208,0.590408967088192,0.5916568850787292
A1_S2_temporal,CatBoost,contiguous_20d,4,0.6892451810484598,0.4082249325783462,0.3981881277513645,0.4082249325783462,0.39001389798198755,0.6898022978316654,0.5855302028528824,0.5866224587176478
