fold,feature,importance_mean,importance_std
0,S1A_VV__p18,0.001181419112541382,0.0013466849852342144
0,S1A_VV__p19,-0.0003102981229440027,0.0003102981229440027
0,S1A_VV__p20,0.000293137367142593,0.000293137367142593
0,S1A_VH__p00,-0.0011229943087634198,1.8558202652091405e-05
0,S1A_VH__p01,0.006066850408214669,0.0002910132681835098
0,S1A_VH__p02,-0.0020437305739799683,0.0020437305739799683
0,S1A_VH__p03,-0.0011551181686597078,0.002191396809195334
0,S1A_VH__p04,0.0031789318381990894,0.0031789318381990894
0,S1A_VH__p05,-0.001195308889566149,0.0005747126436781436
0,S1A_VH__p06,-0.002358474073847705,0.0005668934240362633
0,S1A_VH__p07,0.007858788389610682,5.309647685347585e-05
0,S1A_VH__p08,-0.0018359517949153858,0.0013976341639499734
0,S1A_VH__p09,-0.0018823058045825125,0.0007407532931670013
0,S1A_VH__p10,-0.0005785110799806092,0.0005785110799806092
0,S1A_VH__p11,0.000684664762628906,5.090066859786413e-05
0,S1A_VH__p12,-0.0010176385717428071,0.0008707912312508337
0,S1A_VH__p13,0.0002049014591630205,0.0003110944128699722
0,S1A_VH__p14,0.0005616401001186377,3.54018266245093e-05
0,S1A_VH__p15,0.0,0.0
0,S1A_VH__p16,0.0,0.0
