feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A0_S2_static,KNN,0,spatial_grid_stratified_group,0.6327561327561327,0.22206570016432695,0.29628236514400635,0.22206570016432695,0.2224055740070662,0.5964635262733053,0.48066921421730535,0.486722390690434
A0_S2_static,KNN,1,spatial_grid_stratified_group,0.6206647398843931,0.2224873330515007,0.3134809647372982,0.2224873330515007,0.2289817801550223,0.590651861957865,0.4643386358844458,0.4699994807108805
A0_S2_static,KNN,2,spatial_grid_stratified_group,0.6189791516894321,0.22403239120648372,0.4295562487278721,0.22403239120648372,0.22975932707787167,0.5895193063712209,0.46439248581664105,0.467488876120022
A0_S2_static,KNN,3,spatial_grid_stratified_group,0.5920863309352518,0.21276651744044864,0.24236155979611101,0.21276651744044864,0.21451036789079259,0.559601408260687,0.42298991277456544,0.4305131892163079
A0_S2_static,KNN,OOF,spatial_grid_stratified_group,0.6161052062691407,0.22061979554924205,0.30454218660274174,0.22061979554924205,0.22468838948896203,0.5845473871832728,0.4581046992217881,0.46339402313529493
A0_S2_static,GaussianNB,0,spatial_grid_stratified_group,0.3398268398268398,0.27566816799362076,0.19661383401141597,0.27566816799362076,0.17284836804464698,0.3840601188802443,0.22620573010096867,0.2422918760804522
A0_S2_static,GaussianNB,1,spatial_grid_stratified_group,0.3634393063583815,0.2603960057625086,0.18693363839653693,0.2603960057625086,0.16395812673858645,0.39843146993283274,0.23743552026577397,0.2511652291581977
A0_S2_static,GaussianNB,2,spatial_grid_stratified_group,0.31488138030194107,0.2867604086225095,0.19395341054938148,0.2867604086225095,0.17190021483750034,0.3554160906296108,0.21164914475883045,0.22769715460986922
A0_S2_static,GaussianNB,3,spatial_grid_stratified_group,0.320863309352518,0.28057670614947655,0.2055647460786703,0.28057670614947655,0.18176629901101896,0.36403839422851836,0.206101623542025,0.22211934391628904
A0_S2_static,GaussianNB,OOF,spatial_grid_stratified_group,0.33471446586200687,0.2754361843420617,0.19278134246366313,0.2754361843420617,0.1710601158647545,0.3764151160563697,0.22022130745239443,0.23483338376782242
A0_S2_static,ShrinkageLDA,0,spatial_grid_stratified_group,0.6406926406926406,0.22139033950685744,0.2033970999909407,0.22139033950685744,0.2084740461780649,0.6027383675785899,0.49478297849291575,0.49974726169060146
A0_S2_static,ShrinkageLDA,1,spatial_grid_stratified_group,0.6221098265895953,0.22326808245548058,0.23307916509797874,0.22326808245548058,0.2193441916613257,0.5851030636105118,0.46536433462665416,0.47247026843749484
A0_S2_static,ShrinkageLDA,2,spatial_grid_stratified_group,0.6046010064701653,0.21716291036632612,0.2542776778420696,0.21716291036632612,0.21523144641548683,0.5832292096633938,0.4542467528020636,0.45634042215936493
A0_S2_static,ShrinkageLDA,3,spatial_grid_stratified_group,0.5949640287769784,0.20976772180194148,0.2819366665719098,0.20976772180194148,0.20449668382296876,0.5586776459473437,0.4259526865945351,0.43447081578040847
A0_S2_static,ShrinkageLDA,OOF,spatial_grid_stratified_group,0.6155647631057467,0.21798359848307752,0.3013255883449001,0.21798359848307752,0.212519446643535,0.5828868321581127,0.4601175753333624,0.4645336085203066
A0_S2_static,DecisionTree,0,spatial_grid_stratified_group,0.461038961038961,0.2140548885990732,0.2044853072383662,0.2140548885990732,0.2064882606296686,0.4815057272281459,0.3028183098221663,0.30527597365137615
A0_S2_static,DecisionTree,1,spatial_grid_stratified_group,0.45809248554913296,0.19835724217730946,0.188692084693793,0.19835724217730946,0.1909425837923471,0.47640693239138815,0.29622156409672273,0.2978553414860144
A0_S2_static,DecisionTree,2,spatial_grid_stratified_group,0.4651329978432782,0.21853376212791073,0.19498096139146123,0.21853376212791073,0.19952034873062818,0.48808568902629473,0.3098284214345163,0.3122989738830889
A0_S2_static,DecisionTree,3,spatial_grid_stratified_group,0.4611510791366906,0.1998921406593709,0.19077309633269984,0.1998921406593709,0.19419689937267576,0.4689077876633447,0.2870349952816428,0.2876839986234873
A0_S2_static,DecisionTree,OOF,spatial_grid_stratified_group,0.4613583138173302,0.20713633647509683,0.19350056015461486,0.20713633647509683,0.19764030114625208,0.47908434826845103,0.2990328653796822,0.3004456061777779
A0_S2_static,RandomForest,0,spatial_grid_stratified_group,0.6558441558441559,0.22921393574715307,0.37453248042559895,0.22921393574715307,0.23044984096741125,0.6137821471287669,0.5092618091313904,0.5187081957365524
A0_S2_static,RandomForest,1,spatial_grid_stratified_group,0.630057803468208,0.21755207258368925,0.27437520899059364,0.21755207258368925,0.2217328655016373,0.5898911432585614,0.47020913269593667,0.4818117280403128
A0_S2_static,RandomForest,2,spatial_grid_stratified_group,0.6391085549964055,0.2124835149800363,0.2664243456964976,0.2124835149800363,0.21499562994619786,0.601140189657429,0.48515136188090124,0.49244409599379935
A0_S2_static,RandomForest,3,spatial_grid_stratified_group,0.602158273381295,0.20468724904305968,0.2486068001949608,0.20468724904305968,0.2052555466704552,0.5616699515310906,0.428828528925276,0.4421741715801061
A0_S2_static,RandomForest,OOF,spatial_grid_stratified_group,0.6317780580075663,0.2160740204283734,0.30481528752497183,0.2160740204283734,0.21880607471697422,0.5920044592570624,0.47343581173929794,0.48361738653248304
A0_S2_static,ExtraTrees,0,spatial_grid_stratified_group,0.6601731601731602,0.22525619121145007,0.3289417056553773,0.22525619121145007,0.2219521075326695,0.6127154462640646,0.5138040979205039,0.5250834824502889
A0_S2_static,ExtraTrees,1,spatial_grid_stratified_group,0.6358381502890174,0.21852501060885976,0.32982831905703935,0.21852501060885976,0.22110647215092577,0.5928497531563044,0.4784348619325701,0.4899263926321163
A0_S2_static,ExtraTrees,2,spatial_grid_stratified_group,0.6405463695183321,0.21672550811192298,0.31528030552279324,0.21672550811192298,0.2194080407521662,0.6028011997178641,0.48790860549156356,0.4950285060287305
A0_S2_static,ExtraTrees,3,spatial_grid_stratified_group,0.6,0.21096939443358736,0.3738736210787523,0.21096939443358736,0.21769551865380976,0.559293020768954,0.4262769095089235,0.4387137024756815
A0_S2_static,ExtraTrees,OOF,spatial_grid_stratified_group,0.6341199783822735,0.217908167341179,0.4454528259734331,0.217908167341179,0.2210905610447405,0.5923822277142785,0.47663268053083385,0.48704184596175676
A0_S2_static,GradientBoosting,0,spatial_grid_stratified_group,0.6341991341991342,0.2109062048572768,0.24745317519614396,0.2109062048572768,0.20630671282873847,0.5937021387409981,0.48061341694346993,0.4916535259300868
A0_S2_static,GradientBoosting,1,spatial_grid_stratified_group,0.6242774566473989,0.20269217493623323,0.21242825435688972,0.20269217493623323,0.2009869677801279,0.5841362240295027,0.46205502634112505,0.4737348488209783
A0_S2_static,GradientBoosting,2,spatial_grid_stratified_group,0.6218547807332854,0.20891570512702526,0.24817548088842167,0.20891570512702526,0.20861328657527142,0.5899385191545647,0.46663916028759234,0.47051530259358787
A0_S2_static,GradientBoosting,3,spatial_grid_stratified_group,0.5964028776978417,0.19933650531996044,0.2574838783343487,0.19933650531996044,0.2000108084685474,0.5585361742274557,0.4219924394040472,0.43301309290261075
A0_S2_static,GradientBoosting,OOF,spatial_grid_stratified_group,0.6191677175283733,0.20552945614449816,0.24370576528202545,0.20552945614449816,0.20506863931888397,0.5821079902984276,0.45790960532883995,0.46670255799580057
A0_S2_static,HistGradientBoosting,0,spatial_grid_stratified_group,0.6320346320346321,0.23809997948249384,0.271755329016889,0.23809997948249384,0.23994069868625562,0.6095427501194868,0.49070955256421256,0.49191841974967015
A0_S2_static,HistGradientBoosting,1,spatial_grid_stratified_group,0.6026011560693642,0.22288280009275807,0.22037088132820065,0.22288280009275807,0.2195313016349818,0.5853863215577482,0.45165336020798563,0.4530889548343011
