feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A2_S1_temporal,GaussianNB,OOF,spatial_grid_stratified_group,0.061430372905782744,0.2085187017542716,0.07290962436976221,0.2085187017542716,0.06579138580708631,0.0264448612191969,0.04316180543920711,0.056736431375705686
A2_S1_temporal,DummyMostFrequent,OOF,spatial_grid_stratified_group,0.36588002161772654,0.07692307692307693,0.028144617047517424,0.07692307692307693,0.04121096524156403,0.19601749509512073,0.0,0.0
A3_S1_S2_temporal,HistGradientBoosting,OOF,spatial_grid_stratified_group,0.7330210772833724,0.3798382947981339,0.43592267306182814,0.3798382947981339,0.3909757509971785,0.7175390333748682,0.6346240017993029,0.6357064523304797
A3_S1_S2_temporal,CatBoost,OOF,spatial_grid_stratified_group,0.7106827598630877,0.4140596121274035,0.39766479156037116,0.4140596121274035,0.38947962336007613,0.7097367243494243,0.6144684947813447,0.6159637965023959
A3_S1_S2_temporal,ShrinkageLDA,OOF,spatial_grid_stratified_group,0.6865429652314898,0.41394130690371356,0.36214545930938785,0.41394130690371356,0.37853086588236373,0.6953951144371829,0.5854896975173516,0.5878864761040349
A3_S1_S2_temporal,LightGBM,OOF,spatial_grid_stratified_group,0.7310394523509277,0.36825517927899776,0.41239350618120424,0.36825517927899776,0.3758979517025764,0.7139290768474308,0.6306399910223112,0.63214469445083
A3_S1_S2_temporal,RBF_SVM,OOF,spatial_grid_stratified_group,0.6578994775716087,0.4153211734892761,0.3624331085111627,0.4153211734892761,0.3686450551867392,0.6775809404452536,0.5574297077134329,0.5615658183127625
A3_S1_S2_temporal,XGBoost,OOF,spatial_grid_stratified_group,0.7357232931003422,0.34717437051869116,0.4553734866016112,0.34717437051869116,0.3675258127551932,0.7150254264866855,0.6346777741594405,0.6365351291900704
A3_S1_S2_temporal,RandomForest,OOF,spatial_grid_stratified_group,0.7213114754098361,0.3303643543902147,0.4159883489583836,0.3303643543902147,0.3477113865211547,0.6954548971599128,0.6102625157950528,0.6156079400145708
A3_S1_S2_temporal,MLP,OOF,spatial_grid_stratified_group,0.6973518284993695,0.3442048398470385,0.35937055307078897,0.3442048398470385,0.3470346147772678,0.6865487388778175,0.5867051706747728,0.5870922701926148
A3_S1_S2_temporal,ExtraTrees,OOF,spatial_grid_stratified_group,0.7117636461898756,0.3298833193463177,0.3980893951255581,0.3298833193463177,0.3450764542062054,0.6857322749823483,0.5965746271531223,0.6034098488560083
A3_S1_S2_temporal,LogisticRegression,OOF,spatial_grid_stratified_group,0.6193478652495046,0.3904009385716271,0.32108057005203966,0.3904009385716271,0.34137016275014087,0.6473876709028975,0.5111774241965874,0.5147052036967319
A3_S1_S2_temporal,LinearSVM,OOF,spatial_grid_stratified_group,0.6287155467483336,0.371674373867053,0.31709966063928785,0.371674373867053,0.33496443835201,0.6492442506402568,0.5158767648872322,0.517901728403901
A3_S1_S2_temporal,GradientBoosting,OOF,spatial_grid_stratified_group,0.7061790668348046,0.30842459754215734,0.36403601564747884,0.30842459754215734,0.32387694567078884,0.6900692582851595,0.5947903165168821,0.596424323108737
A3_S1_S2_temporal,KNN,OOF,spatial_grid_stratified_group,0.6798774995496307,0.30932714133646094,0.3335179044449789,0.30932714133646094,0.3072177890204486,0.659596077590968,0.5574471038552034,0.5623895408073466
A3_S1_S2_temporal,DecisionTree,OOF,spatial_grid_stratified_group,0.5636822194199244,0.29386376020752764,0.2741374478984038,0.29386376020752764,0.2816337591115511,0.574979854876013,0.4239629561378362,0.42482702313779797
A3_S1_S2_temporal,GaussianNB,OOF,spatial_grid_stratified_group,0.06287155467483337,0.27160010342442703,0.1716273963718775,0.27160010342442703,0.08954420073091675,0.037800429514068354,0.049508108474098145,0.062421430539411786
A3_S1_S2_temporal,DummyMostFrequent,OOF,spatial_grid_stratified_group,0.36588002161772654,0.07692307692307693,0.028144617047517424,0.07692307692307693,0.04121096524156403,0.19601749509512073,0.0,0.0
A4_temporal_descriptors,CatBoost,OOF,spatial_grid_stratified_group,0.7070798054404612,0.39720817189606844,0.3692054035218914,0.39720817189606844,0.37136901784599136,0.7023118664108214,0.6080941509200724,0.6090310814968871
A4_temporal_descriptors,ShrinkageLDA,OOF,spatial_grid_stratified_group,0.7002341920374707,0.39571590821155006,0.3462893244432449,0.39571590821155006,0.3626215755236082,0.7006765723733865,0.5986918473680584,0.6005614056080572
A4_temporal_descriptors,LightGBM,OOF,spatial_grid_stratified_group,0.7247342821113313,0.34566133456348164,0.415263268773385,0.34566133456348164,0.3575534536816323,0.7058738802830964,0.6206713931835655,0.6221689214684873
A4_temporal_descriptors,RBF_SVM,OOF,spatial_grid_stratified_group,0.6515943073320123,0.41067385736124673,0.34012516500119777,0.41067385736124673,0.3570854918328447,0.6765883970324865,0.5528254969466886,0.5580421074465366
A4_temporal_descriptors,HistGradientBoosting,OOF,spatial_grid_stratified_group,0.7173482255449468,0.34561265490947146,0.380625675221651,0.34561265490947146,0.3494576451144881,0.7002377444494784,0.6125611756761992,0.6135148887369639
A4_temporal_descriptors,MLP,OOF,spatial_grid_stratified_group,0.7159070437758962,0.33251644811728825,0.39798349915287196,0.33251644811728825,0.3475340597586526,0.6972689087024204,0.6089982168490568,0.6101762448234763
A4_temporal_descriptors,XGBoost,OOF,spatial_grid_stratified_group,0.7245541343902,0.32405221582065175,0.45418963902239196,0.32405221582065175,0.3433839757222599,0.7012322104893567,0.6173144892735296,0.6196762554421821
A4_temporal_descriptors,LinearSVM,OOF,spatial_grid_stratified_group,0.6395244100162133,0.39073197705011725,0.31984658868293564,0.39073197705011725,0.3363532117918134,0.67024782242467,0.537329034334839,0.5415410211722038
A4_temporal_descriptors,KNN,OOF,spatial_grid_stratified_group,0.690506215096379,0.3204747957447113,0.3555145095046229,0.3204747957447113,0.3274268191584095,0.6705479193482381,0.5713626221055312,0.5760013502715047
A4_temporal_descriptors,ExtraTrees,OOF,spatial_grid_stratified_group,0.7036569987389659,0.31122901922666474,0.3858210065845787,0.31122901922666474,0.32582470679827086,0.6770810125547985,0.5847146586473508,0.5910887435862822
A4_temporal_descriptors,LogisticRegression,OOF,spatial_grid_stratified_group,0.564042514862187,0.4230089057949699,0.3107332232415967,0.4230089057949699,0.3247912805503317,0.6151700563905992,0.46235734584690547,0.47274106492823564
A4_temporal_descriptors,GradientBoosting,OOF,spatial_grid_stratified_group,0.6959106467303189,0.30605242477678163,0.3667017935213463,0.30605242477678163,0.32147600699112633,0.6766989721450506,0.578150926366463,0.5808435099993527
A4_temporal_descriptors,RandomForest,OOF,spatial_grid_stratified_group,0.7083408394883804,0.30536816761004826,0.3956404467878562,0.30536816761004826,0.32010744846374756,0.6815652187028872,0.5915993165169156,0.5970158846668131
A4_temporal_descriptors,DecisionTree,OOF,spatial_grid_stratified_group,0.5689065033327328,0.2999506487078724,0.2765080211381337,0.2999506487078724,0.2854637562621472,0.5820603644415018,0.43271896129506127,0.433684604789165
A4_temporal_descriptors,GaussianNB,OOF,spatial_grid_stratified_group,0.1996036750135111,0.2583101338402397,0.3008858640638541,0.2583101338402397,0.14428485950440287,0.24521076276422282,0.15048415641531376,0.17772814818423394
A4_temporal_descriptors,DummyMostFrequent,OOF,spatial_grid_stratified_group,0.36588002161772654,0.07692307692307693,0.028144617047517424,0.07692307692307693,0.04121096524156403,0.19601749509512073,0.0,0.0
