feature_set,model,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy,accuracy,accuracy,weighted_f1,weighted_f1,kappa,kappa,mcc,mcc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
A3_S1_S2_temporal,ShrinkageLDA,0.3761337390392535,0.014488091677886852,0.4149571435067645,0.029927516819880637,0.6865300862177355,0.025520585631916462,0.6949257262107578,0.018945578595157383,0.5856502230611383,0.03027191738031383,0.5885684679939113,0.028674936665076305
A3_S1_S2_temporal,XGBoost,0.3644202045712001,0.02195782601891133,0.3475492051131563,0.020278838855491685,0.7357275887898721,0.024224660824505934,0.7143018169457762,0.022503766717918264,0.6346713633680281,0.03355921925308418,0.6369011213520313,0.03267598688276165
A4_temporal_descriptors,CatBoost,0.3703982893272746,0.011674333283520312,0.3971433323911576,0.010120401921799567,0.7070851114988321,0.01771048822974542,0.7020831444282594,0.01786077928742618,0.608080646423151,0.0240011034724514,0.609293208152148,0.023624170827850212
A4_temporal_descriptors,DecisionTree,0.28308221921694665,0.02424595972772844,0.2998194154758738,0.03029199683800398,0.5689154784684776,0.019376738451882904,0.5816618457643297,0.01960471994770044,0.43269701907445457,0.025970386080298263,0.4339659755116443,0.025968174927429474
A4_temporal_descriptors,DummyMostFrequent,0.041211064485121296,8.936092734421217e-05,0.0769230769230769,0.0,0.3658818699129943,0.0010836669824582051,0.1960199015194112,0.0010056420616682846,0.0,0.0,0.0,0.0
A4_temporal_descriptors,ExtraTrees,0.32381665268418347,0.022942258734026777,0.3113211168077292,0.024992750243735935,0.7036448596579963,0.026186190469777014,0.6762503696900148,0.025501417278718026,0.5846148323349776,0.03771708055477835,0.5916301415138024,0.035449173743187415
A4_temporal_descriptors,GaussianNB,0.1391852501535229,0.01704908652238271,0.25638200112773973,0.0205425156101208,0.19960728471128078,0.05112537693927923,0.23774693268211988,0.054239812931813666,0.15101436575341412,0.03874485460115513,0.18717600775600762,0.04915751380039989
A4_temporal_descriptors,GradientBoosting,0.32026033300701945,0.01727129031774101,0.30609487148612763,0.017240016887762215,0.6959079357204874,0.02433140513711754,0.675988114516998,0.023209742613668333,0.5781343070409807,0.033823322016724604,0.5812555032844872,0.03286893699542974
A4_temporal_descriptors,HistGradientBoosting,0.34547371372732266,0.025462806060730377,0.3454493488461012,0.0329434064608141,0.7173525112150585,0.0215827223551721,0.6996315783497469,0.02267731910611519,0.6125005947926537,0.03073063567519011,0.6138360022559712,0.02989899040558825
A4_temporal_descriptors,KNN,0.3255480283394776,0.005555711532044873,0.3203270692464935,0.00981737991115339,0.6905037844177254,0.019712975117418097,0.6697600139584675,0.01875924523330241,0.571334519046673,0.02746053139876086,0.5764641496725589,0.025464158447098997
A4_temporal_descriptors,LightGBM,0.35517894652735416,0.015037087982326286,0.3455062092681278,0.020613142529793547,0.7247294690154253,0.021276472175820765,0.7053697634496444,0.020177519634565332,0.6206400267235567,0.029647838648726974,0.622558155607303,0.028789297054674777
A4_temporal_descriptors,LinearSVM,0.3368323017985878,0.009496893069697815,0.3913383383259937,0.025820989500303284,0.6395375853624357,0.028567216443419412,0.669518978119478,0.02301398579792683,0.5374965485233492,0.03304531560183017,0.5421674853884301,0.03174152732006008
A4_temporal_descriptors,LogisticRegression,0.3264700403665778,0.006810712250822583,0.423495119266234,0.016579518732543763,0.5640488449076717,0.011878973911724629,0.614749607952145,0.010354855071105486,0.4623833009218151,0.011848747842782666,0.47319159432129965,0.010171577777531972
A4_temporal_descriptors,MLP,0.3444027697115616,0.01976597606159779,0.33262965557418994,0.025114397591081406,0.7159161332057143,0.022111640789640057,0.6964589858613058,0.021532403887991988,0.608964661577509,0.030985784177099896,0.6107221236640525,0.030114104058583696
A4_temporal_descriptors,RBF_SVM,0.35722838684278874,0.020663061398141492,0.4104267643892596,0.025440810734265736,0.6515969136593311,0.013412578059034555,0.6766127526247623,0.01326872106533693,0.5528032273303948,0.017581676910297567,0.5584199194879139,0.016911713980756936
A4_temporal_descriptors,RandomForest,0.3191453377200801,0.018044050233244534,0.3053208275097245,0.01934112562954907,0.7083352719062592,0.02479738463053177,0.6811171497035267,0.02394436120610645,0.5915273044968035,0.03561266983630625,0.597363492036435,0.03391319589599531
A4_temporal_descriptors,ShrinkageLDA,0.3634500922163597,0.018203962711349074,0.39574255612967574,0.010447210411191865,0.7002350116672793,0.015038697233890896,0.7003711218425377,0.013222678166530145,0.5987267849546258,0.018801017016975726,0.6009314011725813,0.017542168564502452
A4_temporal_descriptors,XGBoost,0.339979810197077,0.03215835181808733,0.3238948226285483,0.028774509713456603,0.7245467604555619,0.026096224738531393,0.7005800374229103,0.0263929681042083,0.6172706810706576,0.03662929175061253,0.6199906703086113,0.0358718852490691
