feature_set,model,test_season,mask_fraction,repeat,macro_f1,balanced_accuracy
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,3,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,4,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,5,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,6,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,7,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,8,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,9,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,10,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,11,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,12,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,13,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,14,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,15,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,16,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,17,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,18,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,19,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,20,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,21,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,22,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,23,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,24,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,0,0.4654761904761905,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,1,0.48450980392156867,0.488095238095238
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,2,0.5051060893565638,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,3,0.45471182412358885,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,4,0.5345098039215687,0.5547619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,5,0.5131720430107526,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,6,0.4991562685680332,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,7,0.45471182412358885,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,8,0.474090909090909,0.5047619047619047
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,9,0.4551060893565637,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,10,0.45471182412358885,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,11,0.5072222222222222,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,12,0.48450980392156867,0.488095238095238
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,13,0.4551060893565637,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,14,0.48450980392156867,0.488095238095238
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,15,0.45471182412358885,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,16,0.45471182412358885,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,17,0.47781850765721734,0.5047619047619047
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,18,0.4245098039215686,0.42142857142857143
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,19,0.4102020202020202,0.41309523809523807
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,20,0.43337406321277283,0.43809523809523804
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,21,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,22,0.5289159341897679,0.5547619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,23,0.4551060893565637,0.46309523809523806
S1_S2_fusion,RandomForest,wheat_2023_24,0.2,24,0.5289159341897679,0.5547619047619048
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,0,0.36666666666666664,0.5138888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,1,0.4403463203463204,0.6041666666666666
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,2,0.45103785103785105,0.6076388888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,3,0.42442890442890446,0.5729166666666666
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,4,0.43167008430166326,0.5763888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,5,0.4885714285714286,0.6354166666666666
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,6,0.533073593073593,0.6944444444444444
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,7,0.48659340659340666,0.6354166666666666
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,8,0.533073593073593,0.6944444444444444
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,9,0.39757085020242916,0.5451388888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,10,0.4739348370927319,0.6354166666666666
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,11,0.572121212121212,0.7222222222222222
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,12,0.4195488721804511,0.5763888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,13,0.5073593073593073,0.6666666666666666
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,14,0.48659340659340666,0.6354166666666666
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,15,0.516059379217274,0.6666666666666666
S1_S2_fusion,RandomForest,wheat_2024_25,0.2,16,0.4527227158806106,0.6041666666666666
