field_id,latitude,longitude,period_start,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_raw,VV_VH_ratio_dB,optical_valid,sar_valid,optical_source_tile,sar_source_tile,season_day,growth_stage_pseudo
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-10-07,0.0816000029444694,0.0956000015139579,0.1194000020623207,0.1545999944210052,0.2202000021934509,0.1843000054359436,0.1284671276807785,-0.2358113229274749,-0.1960890740156173,0.0672957673668861,0.0682170391082763,-8.056368827819824,-18.04816246032715,0.4463817179203033,9.991793632507324,1,1,3,3,128.0,Maturity
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-10-23,0.1133999973535537,0.1407999992370605,0.1521999984979629,0.1909999996423721,0.2590999901294708,0.2277999967336654,0.1130536198616027,-0.1512959599494934,-0.151299700140953,0.0773709863424301,0.0690227746963501,-9.707627296447754,-20.777156829833984,0.467225968837738,11.06952953338623,1,1,3,3,144.0,Maturity
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-06-01,0.1740500032901764,0.2135500013828277,0.2428500056266784,0.2660000026226043,0.3296000063419342,0.3120500147342682,0.0494668148458004,-0.1168227568268776,-0.1095520034432411,0.0404495373368263,0.0355992540717124,-12.375449180603027,-23.237144470214844,0.5325718522071838,10.861695289611816,1,1,6,6,0.0,Flowering
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-06-17,,,,,,,,,,,,-12.813939094543455,-25.69089698791504,0.5172399282455444,12.876957893371584,0,1,-1,6,16.0,
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-07-03,,,,,,,,,,,,-9.588619232177734,-23.972034454345703,0.399991899728775,14.383415222167969,0,1,-1,6,32.0,
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-07-19,,,,,,,,,,,,-9.273320198059082,-19.19674491882324,0.4830673635005951,9.923424720764157,0,1,-1,6,48.0,
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-08-04,,,,,,,,,,,,-9.346901893615724,-16.622175216674805,0.5733123421669006,7.27527332305908,0,1,-1,6,64.0,
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-08-20,,,,,,,,,,,,-10.963327407836914,-17.852558135986328,0.6141040325164795,6.889230728149414,0,1,-1,6,80.0,
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-09-05,0.060599997639656,0.092349998652935,0.102400004863739,0.2549999952316284,0.2434999942779541,0.1583999991416931,0.4269725680351257,-0.4675615131855011,0.0248597245663404,0.270001083612442,0.2669699192047119,-11.858872413635254,-15.549038887023926,0.7626756429672241,3.690166473388672,1,1,6,6,96.0,Maturity
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-09-21,0.0873999968171119,0.1158000007271766,0.1356000006198883,0.19480000436306,0.2443999946117401,0.2016000002622604,0.1791767627000808,-0.2592113614082336,-0.1129325851798057,0.1093946397304534,0.1069364249706268,-11.862515449523926,-17.5955810546875,0.6794208288192749,5.733065605163574,1,1,6,6,112.0,Maturity
